AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2022,41001,Neiva,41,Huila,3791,Neiva,72715,93.76,93.5,70.15,92.32,80.41,49.53,104.01,93.92,105.19,111.7,90.88,,,4.96,4.16,3.94,6.65,4.17,84.61,0.13,87.68,77.67,87.02,10.43,0.13,8.38,15.68,8.81,9.61,0.36,8.41,14.46,5.11
2022,5001,Medellín,5,Antioquia,3759,Medellín,378768,97.26,97.06,83.54,93.48,86.67,56.18,109.22,97.77,105.54,120.69,100.97,,,4.91,5.01,4.34,5.95,3.77,85.66,0.18,89.12,78.8,88.73,9.43,0.18,6.54,15.24,7.49,6.41,0.17,5.63,9.41,4.02
2022,63001,Armenia,63,Quindio,3804,Armenia,42792,96.02,95.94,78.56,94.14,86.33,60.73,103.46,100.69,103.92,108.55,94.14,,,6.39,5.63,5.13,7.95,6.54,87.11,0.04,90.69,81.4,87.2,6.5,0.04,4.19,10.65,6.26,4.43,0,3.54,7.25,2.46
2022,5059,Armenia,5,Antioquia,3758,Antioquia (ETC),796,56.53,56.53,40,46.85,52.08,33.08,63.44,49.23,57.06,77.36,58.65,,,3.22,0,2.65,5.06,1.49,83.05,0,93.12,66.29,91.04,13.73,0,4.23,28.65,7.46,4.07,0,4.21,5.62,1.49
2021,63001,Armenia,63,Quindio,3.804,Armenia,43.096,95.36,95.3,74.12,91.64,88.49,60.9,103.67,90.93,102.08,113.43,95.01,,,6.71,6.09,6.31,7.52,6.09,87.41,0.12,89.85,83.48,87.81,5.87,0.12,3.84,9,6.09,3.74,0.21,2.31,6.46,2.43
2021,41001,Neiva,41,Huila,3.791,Neiva,70.664,95.6,95.4,66.76,93.94,84.29,49.59,107.1,86.61,109.49,116.58,92.9,,,5.5,4.8,5.52,6.09,3.98,81.02,0.47,84.53,73.13,83.53,13.48,0.47,9.95,20.78,12.5,5.65,0.26,4.58,8.55,4.11
2021,5059,Armenia,5,Antioquia,3.758,Antioquia (ETC),807,58.86,58.86,39.39,53.75,51.28,30.37,65.3,51.52,65.17,75.09,52.59,,,4.25,5.88,3.69,5.91,0,89.47,0,90.32,84.95,98.25,6.28,0,5.99,9.14,1.75,0.81,0,0.92,1.08,0
2021,5001,Medellín,5,Antioquia,3.759,Medellín,379.616,97.12,96.94,81.04,92.36,88.93,54.38,109.93,93.44,105.43,123.85,101.21,,,3.27,2.94,3.27,3.56,2.65,87.89,0.24,90.37,83.21,88.81,8.84,0.24,6.36,13.23,8.55,6.17,0.29,4.72,9.74,3.63
2020,11001,Bogotá D.C.,11,Bogotá D.C.,3766,Bogotá D.C. (ETC),1181597,96.41,95.89,69.15,93.79,89.06,57.3,104.74,85.9,106.07,111.81,97.06,,,0.46,0.52,0.5,0.38,0.55,94.4,0.42,96.29,92.11,92.12,5.14,0.42,3.21,7.51,7.33,3.75,0.07,3.14,5.71,2.27
2020,5059,Armenia,5,Antioquia,3758,Antioquia (ETC),803,60.02,60.02,51.56,53.29,50.37,24.06,71.86,57.81,68.86,86.03,57.14,,,2.35,2.7,1.3,3.66,1.89,96.09,0,97.83,93.19,98.11,1.57,0,0.87,3.14,0,6.46,0,3.48,12.57,1.89
