AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2016,1,05,ANTIOQUIA,05059,ARMENIA,233,5212,"4,47"
2020,1,63,QUINDÍO,63001,ARMENIA,77271,302613,"25,53"
2019,3,05,ANTIOQUIA,05059,ARMENIA,115,5085,"2,26"
2016,3,05,ANTIOQUIA,05059,ARMENIA,398,5212,"7,64"
2022,2,05,ANTIOQUIA,05059,ARMENIA,779,5314,"14,66"
2016,4,05,ANTIOQUIA,05059,ARMENIA,410,5212,"7,87"
2021,2,63,QUINDÍO,63001,ARMENIA,89207,304700,"29,28"
2021,1,05,ANTIOQUIA,05059,ARMENIA,220,5271,"4,17"
2021,3,63,QUINDÍO,63001,ARMENIA,89031,304700,"29,22"
2022,2,63,QUINDÍO,63001,ARMENIA,91422,306147,"29,86"
2021,4,63,QUINDÍO,63001,ARMENIA,90264,304700,"29,62"
2022,4,05,ANTIOQUIA,05059,ARMENIA,993,5314,"18,69"
2018,2,63,QUINDÍO,63001,ARMENIA,69695,295208,"23,61"
2017,1,05,ANTIOQUIA,05059,ARMENIA,501,5189,"9,66"
2017,2,63,QUINDÍO,63001,ARMENIA,65234,291698,"22,36"
2016,2,05,ANTIOQUIA,05059,ARMENIA,238,5212,"4,57"
2019,2,05,ANTIOQUIA,05059,ARMENIA,109,5085,"2,14"
2021,2,05,ANTIOQUIA,05059,ARMENIA,1081,5271,"20,51"
2016,1,63,QUINDÍO,63001,ARMENIA,59161,289151,"20,46"
2020,2,05,ANTIOQUIA,05059,ARMENIA,123,5241,"2,35"
2016,4,63,QUINDÍO,63001,ARMENIA,62657,289151,"21,67"
2018,1,63,QUINDÍO,63001,ARMENIA,67903,295208,"23,00"
2022,1,05,ANTIOQUIA,05059,ARMENIA,781,5314,"14,70"
2017,3,63,QUINDÍO,63001,ARMENIA,66399,291698,"22,76"
2022,4,63,QUINDÍO,63001,ARMENIA,92923,306147,"30,35"
2022,3,63,QUINDÍO,63001,ARMENIA,92627,306147,"30,26"
2022,3,05,ANTIOQUIA,05059,ARMENIA,989,5314,"18,61"
2022,1,63,QUINDÍO,63001,ARMENIA,91491,306147,"29,88"
2018,4,63,QUINDÍO,63001,ARMENIA,72609,295208,"24,60"
2021,3,05,ANTIOQUIA,05059,ARMENIA,1095,5271,"20,77"
2021,4,05,ANTIOQUIA,05059,ARMENIA,861,5271,"16,33"
2021,1,63,QUINDÍO,63001,ARMENIA,88254,304700,"28,96"
2019,1,05,ANTIOQUIA,05059,ARMENIA,113,5085,"2,22"
2017,4,63,QUINDÍO,63001,ARMENIA,66592,291698,"22,83"
2019,1,63,QUINDÍO,63001,ARMENIA,73813,300194,"24,59"
2017,4,05,ANTIOQUIA,05059,ARMENIA,145,5189,"2,79"
2018,2,05,ANTIOQUIA,05059,ARMENIA,133,5139,"2,59"
2020,3,05,ANTIOQUIA,05059,ARMENIA,120,5241,"2,29"
2017,3,05,ANTIOQUIA,05059,ARMENIA,148,5189,"2,85"
2017,1,63,QUINDÍO,63001,ARMENIA,89646,291698,"30,73"
2020,4,05,ANTIOQUIA,05059,ARMENIA,200,5241,"3,82"
2020,4,63,QUINDÍO,63001,ARMENIA,86125,302613,"28,46"
2016,2,63,QUINDÍO,63001,ARMENIA,60427,289151,"20,90"
2020,3,63,QUINDÍO,63001,ARMENIA,82801,302613,"27,36"
2019,4,05,ANTIOQUIA,05059,ARMENIA,110,5085,"2,16"
2020,1,05,ANTIOQUIA,05059,ARMENIA,112,5241,"2,14"
